,s,f,Ψf,f_L
0,0.0,0.7745586,0.77525747,0.7636666666666648
1,0.001,0.77480006,0.77543765,0.790333333333331
2,0.002,0.7750438,0.7756251,0.7619999999999971
3,0.003,0.77529,0.7758194,0.773999999999998
4,0.004,0.77553844,0.77601975,0.7639999999999971
5,0.005,0.7757894,0.77622575,0.7849999999999973
6,0.006,0.77604264,0.77643734,0.766666666666665
7,0.007,0.7762983,0.7766542,0.7759999999999976
8,0.008,0.77655643,0.776876,0.7716666666666646
9,0.009,0.77681696,0.7771029,0.7726666666666646
10,0.01,0.77707994,0.7773343,0.7826666666666646
11,0.011,0.7773453,0.77757037,0.7839999999999973
12,0.012,0.7776131,0.7778109,0.7803333333333315
13,0.013,0.77788323,0.7780559,0.771666666666664
14,0.014,0.77815586,0.778305,0.7753333333333315
15,0.015,0.7784311,0.77855843,0.7796666666666642
16,0.016,0.77870864,0.7788158,0.7879999999999967
17,0.017,0.7789888,0.7790773,0.7839999999999974
18,0.018,0.77927125,0.77934265,0.7779999999999976
19,0.019,0.7795563,0.77961177,0.784333333333331
20,0.02,0.77984375,0.77988464,0.7769999999999981
21,0.021,0.78013355,0.78016126,0.7793333333333314
22,0.022,0.7804259,0.78044146,0.7693333333333316
23,0.023,0.7807206,0.7807253,0.7873333333333303
24,0.024,0.7810179,0.7810125,0.7826666666666643
25,0.025,0.7813175,0.78130317,0.7829999999999975
26,0.026,0.78161967,0.78159726,0.7839999999999984
27,0.027,0.7819241,0.78189474,0.785999999999997
28,0.028,0.78223103,0.78219527,0.7783333333333309
29,0.029,0.7825405,0.78249925,0.781333333333331
30,0.03,0.7828523,0.7828062,0.7789999999999977
31,0.031,0.7831665,0.7831164,0.785999999999998
32,0.032,0.7834832,0.7834296,0.7733333333333313
33,0.033,0.7838021,0.7837457,0.7836666666666652
34,0.034,0.7841236,0.78406495,0.7739999999999982
35,0.035,0.78444725,0.7843871,0.7869999999999975
36,0.036,0.7847733,0.7847121,0.7783333333333309
37,0.037,0.78510183,0.78503996,0.7899999999999975
38,0.038,0.7854326,0.78537047,0.7949999999999977
39,0.039,0.7857656,0.7857039,0.7873333333333316
40,0.04,0.7861012,0.78604,0.7833333333333309
