n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
200,0.935,0.925,0.925,0.91,0.915,0.945,0.92,0.955,0.925,0.96,0.925,0.915,0.92,0.925,0.895,0.875,0.9,0.955,0.905,0.93,0.945,0.93,0.875,0.94,0.93,0.915,0.93,0.95,0.895,0.935,0.925,0.935,0.955,0.895,0.91,0.93,0.9,0.905,0.965,0.9,0.92,0.915,0.945,0.92,0.95,0.935,0.915,0.895,0.975,0.92,0.915,0.9,0.905,0.9,0.915,0.915,0.88,0.91,0.915,0.92,0.895,0.91,0.965,0.875,0.915,0.965,0.95,0.895,0.98,0.925,0.935,0.91,0.965,0.91,0.925,0.895,0.965,0.945,0.93,0.93,0.94,0.915,0.95,0.945,0.925,0.92,0.96,0.935,0.955,0.91,0.925,0.915,0.925,0.965,0.935,0.88,0.905,0.905,0.925,0.925
400,0.945,0.915,0.9025,0.91,0.93,0.9225,0.92,0.905,0.8925,0.9375,0.92,0.9275,0.9275,0.9425,0.92,0.94,0.945,0.9375,0.935,0.9475,0.925,0.9175,0.9225,0.935,0.9325,0.9475,0.8775,0.94,0.9475,0.92,0.955,0.905,0.945,0.935,0.92,0.925,0.91,0.9225,0.935,0.94,0.9325,0.915,0.9125,0.945,0.9325,0.935,0.895,0.92,0.94,0.9375,0.9075,0.91,0.9425,0.9025,0.92,0.925,0.9425,0.9,0.96,0.9175,0.9125,0.9025,0.93,0.9575,0.935,0.9375,0.93,0.965,0.905,0.9275,0.935,0.9425,0.9275,0.9225,0.9225,0.94,0.9025,0.945,0.9075,0.9475,0.9075,0.9325,0.9175,0.9475,0.8975,0.9275,0.94,0.92,0.94,0.925,0.925,0.9375,0.9175,0.9325,0.9575,0.935,0.9325,0.9375,0.9225,0.93
600,0.945,0.9333333333333333,0.92,0.9216666666666666,0.9283333333333333,0.94,0.93,0.9083333333333333,0.94,0.9183333333333333,0.9083333333333333,0.915,0.9283333333333333,0.9316666666666666,0.9316666666666666,0.9466666666666667,0.9116666666666666,0.915,0.9533333333333334,0.9516666666666667,0.9083333333333333,0.94,0.9183333333333333,0.9216666666666666,0.915,0.925,0.9233333333333333,0.8983333333333333,0.93,0.91,0.925,0.92,0.925,0.9133333333333333,0.9183333333333333,0.9433333333333334,0.9133333333333333,0.9183333333333333,0.935,0.9183333333333333,0.935,0.9216666666666666,0.925,0.91,0.9266666666666666,0.9233333333333333,0.9133333333333333,0.9533333333333334,0.9016666666666666,0.92,0.9266666666666666,0.9483333333333334,0.9283333333333333,0.9333333333333333,0.935,0.9366666666666666,0.9183333333333333,0.9366666666666666,0.91,0.9266666666666666,0.9166666666666666,0.93,0.92,0.9216666666666666,0.895,0.9416666666666667,0.8966666666666666,0.925,0.9416666666666667,0.9333333333333333,0.91,0.9266666666666666,0.9216666666666666,0.9383333333333334,0.9316666666666666,0.9116666666666666,0.9266666666666666,0.9366666666666666,0.9283333333333333,0.925,0.9166666666666666,0.915,0.925,0.9433333333333334,0.9316666666666666,0.9266666666666666,0.9266666666666666,0.93,0.9283333333333333,0.925,0.9183333333333333,0.9316666666666666,0.9333333333333333,0.94,0.92,0.9266666666666666,0.9466666666666667,0.935,0.9366666666666666,0.9183333333333333
800,0.93,0.9225,0.91375,0.92625,0.94,0.93,0.92,0.92125,0.94,0.93125,0.92875,0.9175,0.9275,0.925,0.93375,0.925,0.93875,0.90875,0.915,0.91,0.9275,0.92125,0.925,0.93875,0.91125,0.9175,0.9275,0.94375,0.9325,0.93125,0.92,0.9325,0.91875,0.92875,0.915,0.9125,0.93375,0.9225,0.92125,0.9225,0.93125,0.9325,0.92125,0.92375,0.91375,0.935,0.93,0.93,0.93125,0.92375,0.9175,0.9325,0.93,0.93,0.925,0.90625,0.9375,0.93625,0.91375,0.93,0.94125,0.935,0.91625,0.925,0.93875,0.93625,0.9275,0.9125,0.925,0.9275,0.9225,0.935,0.9275,0.92375,0.935,0.95375,0.90125,0.93,0.92375,0.9375,0.91125,0.9425,0.92625,0.92875,0.9425,0.9225,0.92125,0.93125,0.94,0.93875,0.92,0.9175,0.9425,0.93625,0.92625,0.93125,0.94625,0.9225,0.9425,0.9375
1000,0.93,0.926,0.924,0.925,0.936,0.937,0.948,0.928,0.926,0.924,0.927,0.926,0.921,0.939,0.932,0.922,0.912,0.925,0.951,0.921,0.928,0.921,0.924,0.928,0.933,0.936,0.941,0.94,0.919,0.914,0.927,0.909,0.924,0.922,0.922,0.914,0.931,0.929,0.932,0.94,0.934,0.937,0.92,0.927,0.926,0.94,0.917,0.918,0.93,0.928,0.936,0.933,0.922,0.931,0.944,0.916,0.934,0.928,0.928,0.935,0.928,0.93,0.921,0.914,0.93,0.926,0.933,0.921,0.924,0.948,0.929,0.936,0.934,0.938,0.908,0.921,0.921,0.93,0.937,0.912,0.931,0.925,0.915,0.931,0.948,0.934,0.918,0.933,0.925,0.92,0.935,0.923,0.93,0.918,0.924,0.926,0.935,0.94,0.936,0.931
1200,0.9225,0.9258333333333333,0.9433333333333334,0.9225,0.9166666666666666,0.9291666666666667,0.9316666666666666,0.9175,0.93,0.9108333333333334,0.9241666666666667,0.9308333333333333,0.9216666666666666,0.9183333333333333,0.9291666666666667,0.94,0.9166666666666666,0.9283333333333333,0.9166666666666666,0.9233333333333333,0.9316666666666666,0.9383333333333334,0.915,0.9116666666666666,0.9225,0.9291666666666667,0.925,0.9375,0.9225,0.9216666666666666,0.9275,0.9233333333333333,0.93,0.9191666666666667,0.93,0.9266666666666666,0.9233333333333333,0.9316666666666666,0.9358333333333333,0.9266666666666666,0.9258333333333333,0.93,0.9225,0.9416666666666667,0.9341666666666667,0.9208333333333333,0.9341666666666667,0.9325,0.9208333333333333,0.9333333333333333,0.9366666666666666,0.9233333333333333,0.9283333333333333,0.9216666666666666,0.9291666666666667,0.9333333333333333,0.9275,0.9341666666666667,0.9216666666666666,0.9316666666666666,0.9158333333333334,0.935,0.9333333333333333,0.9091666666666667,0.9258333333333333,0.9175,0.9216666666666666,0.9291666666666667,0.9341666666666667,0.92,0.9316666666666666,0.9333333333333333,0.92,0.9175,0.9075,0.9158333333333334,0.9266666666666666,0.9225,0.93,0.9241666666666667,0.9408333333333333,0.9225,0.9116666666666666,0.9341666666666667,0.93,0.9208333333333333,0.9266666666666666,0.9141666666666667,0.9258333333333333,0.9241666666666667,0.9216666666666666,0.9225,0.9333333333333333,0.915,0.92,0.93,0.9233333333333333,0.9458333333333333,0.9233333333333333,0.9425
1400,0.9335714285714286,0.9328571428571428,0.9128571428571428,0.9335714285714286,0.9328571428571428,0.9321428571428572,0.9164285714285715,0.9214285714285714,0.9242857142857143,0.92,0.9392857142857143,0.9264285714285714,0.9357142857142857,0.9271428571428572,0.9242857142857143,0.9214285714285714,0.9235714285714286,0.94,0.9242857142857143,0.9342857142857143,0.9357142857142857,0.925,0.9214285714285714,0.93,0.9264285714285714,0.9314285714285714,0.9171428571428571,0.9328571428571428,0.9421428571428572,0.9278571428571428,0.9364285714285714,0.9092857142857143,0.9414285714285714,0.9292857142857143,0.9342857142857143,0.9278571428571428,0.9242857142857143,0.9178571428571428,0.9321428571428572,0.935,0.9292857142857143,0.9321428571428572,0.9157142857142857,0.9307142857142857,0.9135714285714286,0.9221428571428572,0.9228571428571428,0.9235714285714286,0.9257142857142857,0.93,0.9292857142857143,0.9128571428571428,0.9278571428571428,0.9407142857142857,0.9235714285714286,0.9292857142857143,0.9042857142857142,0.925,0.9235714285714286,0.9307142857142857,0.925,0.92,0.9228571428571428,0.9235714285714286,0.9171428571428571,0.9242857142857143,0.9335714285714286,0.9135714285714286,0.9064285714285715,0.9292857142857143,0.93,0.9242857142857143,0.9307142857142857,0.9328571428571428,0.9321428571428572,0.9292857142857143,0.9285714285714286,0.9342857142857143,0.9328571428571428,0.92,0.93,0.9307142857142857,0.9257142857142857,0.9264285714285714,0.9228571428571428,0.9257142857142857,0.9321428571428572,0.9164285714285715,0.9357142857142857,0.9285714285714286,0.9392857142857143,0.9271428571428572,0.9128571428571428,0.9378571428571428,0.9185714285714286,0.9328571428571428,0.92,0.9328571428571428,0.9192857142857143,0.9385714285714286
1600,0.919375,0.93,0.9275,0.92375,0.93125,0.939375,0.91625,0.92625,0.914375,0.919375,0.930625,0.923125,0.92875,0.933125,0.926875,0.92875,0.925,0.92375,0.921875,0.92875,0.92125,0.91875,0.925,0.935625,0.924375,0.91625,0.913125,0.915,0.933125,0.928125,0.931875,0.920625,0.93,0.925,0.924375,0.9125,0.91875,0.91625,0.935,0.9325,0.9325,0.9275,0.9275,0.920625,0.92875,0.919375,0.910625,0.920625,0.916875,0.924375,0.9225,0.9325,0.935625,0.929375,0.91625,0.919375,0.925625,0.921875,0.92125,0.9325,0.94,0.926875,0.915,0.929375,0.923125,0.93125,0.9325,0.92,0.924375,0.919375,0.92125,0.933125,0.93,0.93375,0.921875,0.925,0.923125,0.939375,0.925,0.91375,0.9325,0.915625,0.92,0.934375,0.92625,0.9325,0.935625,0.931875,0.936875,0.929375,0.920625,0.933125,0.921875,0.925625,0.92125,0.92875,0.928125,0.93,0.92125,0.934375
1800,0.9277777777777778,0.9261111111111111,0.9205555555555556,0.9266666666666666,0.915,0.9366666666666666,0.9388888888888889,0.9183333333333333,0.9283333333333333,0.925,0.9305555555555556,0.9294444444444444,0.9205555555555556,0.9205555555555556,0.9238888888888889,0.9211111111111111,0.9172222222222223,0.9244444444444444,0.9077777777777778,0.9316666666666666,0.9216666666666666,0.9372222222222222,0.9227777777777778,0.9322222222222222,0.9216666666666666,0.9155555555555556,0.9416666666666667,0.9272222222222222,0.9211111111111111,0.9266666666666666,0.9361111111111111,0.9238888888888889,0.925,0.9216666666666666,0.9377777777777778,0.9333333333333333,0.9194444444444444,0.9411111111111111,0.9283333333333333,0.935,0.9177777777777778,0.9322222222222222,0.9222222222222223,0.915,0.9161111111111111,0.92,0.9122222222222223,0.9022222222222223,0.92,0.9188888888888889,0.925,0.9277777777777778,0.9322222222222222,0.9277777777777778,0.9222222222222223,0.9255555555555556,0.9394444444444444,0.9272222222222222,0.9344444444444444,0.9216666666666666,0.9355555555555556,0.9227777777777778,0.9222222222222223,0.9344444444444444,0.9127777777777778,0.9283333333333333,0.9233333333333333,0.9216666666666666,0.9294444444444444,0.9283333333333333,0.9277777777777778,0.9361111111111111,0.9222222222222223,0.9227777777777778,0.93,0.9388888888888889,0.9166666666666666,0.9244444444444444,0.9294444444444444,0.9305555555555556,0.9316666666666666,0.9266666666666666,0.9233333333333333,0.9261111111111111,0.9261111111111111,0.925,0.9155555555555556,0.9411111111111111,0.9216666666666666,0.9294444444444444,0.9388888888888889,0.925,0.9272222222222222,0.91,0.9216666666666666,0.9227777777777778,0.9211111111111111,0.9283333333333333,0.9244444444444444,0.9333333333333333
2000,0.9225,0.919,0.932,0.9365,0.929,0.916,0.9315,0.9115,0.9315,0.9175,0.921,0.9355,0.915,0.9305,0.925,0.931,0.929,0.9345,0.929,0.9315,0.933,0.932,0.9265,0.923,0.9295,0.932,0.9315,0.927,0.9195,0.9225,0.933,0.9295,0.9195,0.927,0.931,0.9325,0.9345,0.9155,0.9175,0.9335,0.914,0.9265,0.9225,0.925,0.9405,0.935,0.927,0.9255,0.9285,0.9275,0.9255,0.923,0.9175,0.925,0.9275,0.934,0.925,0.9235,0.9415,0.9235,0.913,0.919,0.923,0.931,0.933,0.93,0.944,0.9365,0.922,0.9285,0.932,0.9345,0.9185,0.912,0.9295,0.9355,0.9305,0.9345,0.9205,0.9255,0.938,0.921,0.9255,0.9295,0.922,0.9275,0.9285,0.9345,0.916,0.922,0.934,0.92,0.93,0.922,0.921,0.927,0.929,0.927,0.9275,0.916
